screen_name|created_at|text|retweet_count|favorite_count
realDonaldTrump|Tue Sep 04 22:49:35 +0000 2018|Statement from White House @PressSec, Sarah Sanders: https://t.co/mE73HSi6Rl|15809|56144
realDonaldTrump|Tue Sep 04 22:38:06 +0000 2018|Statement from White House Chief of Staff, General John Kelly: https://t.co/LUN8cDr3N5|20316|66547
realDonaldTrump|Tue Sep 04 22:37:09 +0000 2018|Statement from Secretary of Defense, James Mattis: https://t.co/OneaxKCneV|21551|67879
realDonaldTrump|Tue Sep 04 21:03:50 +0000 2018|?Judge Brett Kavanaugh is an Exceptionally Qualified and Deserving Nominee for the Supreme Court? https://t.co/nD5XZo9yIm|15183|58872
realDonaldTrump|Tue Sep 04 20:55:41 +0000 2018|Paul Cook is a decorated Marine Corps Veteran who loves and supports our Military and Vets. He is Strong on Crime, the Border, and supported Tax Cuts for the people of California. Paul has my total and complete Endorsement!|16062|64491
realDonaldTrump|Tue Sep 04 20:44:49 +0000 2018|?Pledge to America?s Workers? https://t.co/wbGZU6oi9G|10318|42975
realDonaldTrump|Tue Sep 04 20:41:38 +0000 2018|....looking to inflict pain and embarrassment to one of the most highly renowned jurists to ever appear before Congress. So sad to see!|15491|66592
realDonaldTrump|Tue Sep 04 20:41:37 +0000 2018|The Brett Kavanaugh hearings for the future Justice of the Supreme Court are truly a display of how mean, angry, and despicable the other side is. They will say anything, and are only....|21966|90520
realDonaldTrump|Tue Sep 04 20:40:28 +0000 2018|Jon Kyl will be an extraordinary Senator representing an extraordinary state, Arizona. I look forward to working with him!|12604|58447
realDonaldTrump|Tue Sep 04 18:24:52 +0000 2018|Everyone in the path of #Gordon please heed the advice of State and local officials and follow @NHC_Atlantic for updates. The Federal Government stands ready to assist. Be safe! https://t.co/sJiL4wnQID|11465|46425
realDonaldTrump|Tue Sep 04 14:58:21 +0000 2018|NBC FAKE NEWS, which is under intense scrutiny over their killing the Harvey Weinstein story, is now fumbling around making excuses for their probably highly unethical conduct. I have long criticized NBC and their journalistic standards-worse than even CNN. Look at their license?|25964|104420
realDonaldTrump|Mon Sep 03 22:20:17 +0000 2018|President Bashar al-Assad of Syria must not recklessly attack Idlib Province. The Russians and Iranians would be making a grave humanitarian mistake to take part in this potential human tragedy. Hundreds of thousands of people could be killed. Don?t let that happen!|22820|88423
realDonaldTrump|Mon Sep 03 19:21:26 +0000 2018|According to the Failing New York Times, the FBI started a major effort to flip Putin loyalists in 2014-2016. ?It wasn?t about Trump, he wasn?t even close to a candidate yet.?  Rigged Witch Hunt!|18697|72608
realDonaldTrump|Mon Sep 03 18:55:35 +0000 2018|I see that John Kerry, the father of the now terminated Iran deal, is thinking of running for President. I should only be so lucky - although the field that is currently assembling looks really good - FOR ME!|25243|111116
realDonaldTrump|Mon Sep 03 18:39:19 +0000 2018|....The Democrats, none of whom voted for Jeff Sessions, must love him now. Same thing with Lyin? James Comey. The Dems all hated him, wanted him out, thought he was disgusting - UNTIL I FIRED HIM! Immediately he became a wonderful man, a saint like figure in fact. Really sick!|23820|100043
realDonaldTrump|Mon Sep 03 18:25:25 +0000 2018|Two long running, Obama era, investigations of  two very popular Republican Congressmen were brought to a well publicized charge, just ahead of the Mid-Terms, by the Jeff Sessions Justice Department. Two easy wins now in doubt because there is not enough time. Good job Jeff......|20062|79146
realDonaldTrump|Mon Sep 03 17:50:01 +0000 2018|The U.S. is respected again! https://t.co/NtQ4vsoqnk|15052|67763
realDonaldTrump|Mon Sep 03 15:28:33 +0000 2018|Richard Trumka, the head of the AFL-CIO, represented his union poorly on television this weekend. Some of the things he said were so against the working men and women of our country, and the success of the U.S. itself, that it is easy to see why unions are doing so poorly. A Dem!|15431|63511
realDonaldTrump|Mon Sep 03 12:23:33 +0000 2018|The Worker in America is doing better than ever before. Celebrate Labor Day!|19755|93643
realDonaldTrump|Mon Sep 03 11:28:14 +0000 2018|Happy Labor Day! Our country is doing better than ever before with unemployment setting record lows. The U.S. has tremendous upside potential as we go about fixing some of the worst Trade Deals ever made by any country in the world. Big progress being made!|27878|124634
realDonaldTrump|Sun Sep 02 13:37:51 +0000 2018|....The fact is that African/American unemployment is now the lowest in the history of our country. Same with Asian, Hispanic and almost every other group. The Democrats have been all talk and no action. My Administration has already produced like no other, and everyone sees it!|32515|137655
realDonaldTrump|Sun Sep 02 13:28:20 +0000 2018|Tiger Woods showed great class in the way he answered the question about the Office of the Presidency and me. Now they say the so-called ?left? is angry at him. So sad, but the ?center &amp; right? loves Tiger, Kanye, George Foreman, Jim Brown &amp; so many other greats, even more.......|26396|125207
realDonaldTrump|Sun Sep 02 01:21:41 +0000 2018|?There is no possible way the Trump Tower meeting between Don Trump jr and a couple of Russians, who have very deep connections to both the Clintons &amp; Fusion GPS, &amp; where no information on the Clintons was exchanged, is a crime. Dems are blinded by their hatred of Trump.? Bongino|23142|95746
realDonaldTrump|Sun Sep 02 01:01:22 +0000 2018|?No information was ever given by the Trump Team to Russia, yet the Hillary Clinton campaign paid for information from Kremlin sources and just washed it through an intermediary, Christopher Steele.?  Jesse Waters|21796|82303
realDonaldTrump|Sun Sep 02 00:53:44 +0000 2018|....positions of power. That?s part of the story of the Russia Hoax. Christopher Steele is on the payroll of Hillary Clinton &amp; the FBI, &amp; when they fired him for lying, they continued to use him. Violation of FBI regulations. Kept trying to verify the unverifiable.? @GreggJarrett|16737|64062
realDonaldTrump|Sun Sep 02 00:46:41 +0000 2018|?There?s no fairness here, if you?re a Democrat or a friend of Hillary you get immunity or off scott free. If you?re connected to Donald Trump, you get people like Robert Mueller &amp; Andrew Weissman, and his team of partisans, coming after you with a vengeance and abusing their....|25222|94930
realDonaldTrump|Sat Sep 01 22:55:29 +0000 2018|We shouldn?t have to buy our friends with bad Trade Deals and Free Military Protection!|25466|108564
realDonaldTrump|Sat Sep 01 22:53:07 +0000 2018|MAKE AMERICA GREAT AGAIN!|44716|179030
realDonaldTrump|Sat Sep 01 22:51:29 +0000 2018|"No Deal! Trade Talks with Canada Conclude for the Week with No Agreement | Breitbart https://t.co/87vi7OqopY via @BreitbartNews"|11949|48975
realDonaldTrump|Sat Sep 01 15:12:25 +0000 2018|....Remember, NAFTA was one of the WORST Trade Deals ever made. The U.S. lost thousands of businesses and millions of jobs. We were far better off before NAFTA - should never have been signed. Even the Vat Tax was not accounted for. We make new deal or go back to pre-NAFTA!|19897|81834
realDonaldTrump|Sat Sep 01 15:03:28 +0000 2018|There is no political necessity to keep Canada in the new NAFTA deal. If we don?t make a fair deal for the U.S. after decades of abuse, Canada will be out. Congress should not interfere w/ these negotiations or I will simply terminate NAFTA entirely &amp; we will be far better off...|25964|105878
realDonaldTrump|Sat Sep 01 13:27:05 +0000 2018|....Donald Trump, and now we find out that there wasn?t even a hearing - that Donald Trump?s 4th Amendment right to privacy was signed away...and someone in there is swearing that this stuff is true, when it wasn?t? This is the scandal here - a police state.?  Dan Bongino|23776|85198
realDonaldTrump|Sat Sep 01 13:19:20 +0000 2018|?You have a Fake Dossier, gathered by Steele, paid by the Clinton team to get information on Trump. The Dossier is Fake, nothing in it has been verified. It then filters into our American court system in order to spy on Barrack Obama and Hillary Clinton?s political opponent......|22638|82807
realDonaldTrump|Sat Sep 01 12:32:59 +0000 2018|....of the DOJ &amp; FBI are completely out to lunch in terms of exposing and holding those accountable who are responsible for that corruption.? @TomFitton @JudicialWatch|15511|59478
realDonaldTrump|Sat Sep 01 12:26:58 +0000 2018|Report: There were no FISA hearings held over Spy documents.?It is astonishing that the FISA courts couldn?t hold hearings on Spy Warrants targeting Donald Trump. It isn?t about Carter Page, it?s about the Trump Campaign. You?ve got corruption at the DOJ &amp; FBI. The leadership....|19882|72583
realDonaldTrump|Sat Sep 01 11:21:41 +0000 2018|I love Canada, but they?ve taken advantage of our Country for many years!|17360|85182
realDonaldTrump|Sat Sep 01 11:19:04 +0000 2018|?I think today what has happened is that news reporting has become part of the adversary system.? Alan Dershowitz  It has become tainted and corrupt! DJT|17469|70989
realDonaldTrump|Sat Sep 01 02:40:23 +0000 2018|Still can?t believe that Bloomberg violated a firm OFF THE RECORD statement. Will they put out an apology?|16786|76453
realDonaldTrump|Sat Sep 01 02:36:57 +0000 2018|Great day in North Carolina where Republicans will do very well!|11739|63580
realDonaldTrump|Sat Sep 01 02:35:28 +0000 2018|The ABC/Washington Post Poll was by far the least accurate one 2 weeks out from the 2016 Election. I call it a suppression poll - but by Election Day they brought us, out of shame, to about even. They will never learn!|14813|66887
realDonaldTrump|Sat Sep 01 02:25:38 +0000 2018|.@Rasmussen_Poll just came out at 48% approval rate despite the constant and intense Fake News. Higher than Election Day and higher than President Obama. Rasmussen was one of the most accurate Election Day polls!|20407|84852
realDonaldTrump|Sat Sep 01 00:01:21 +0000 2018|https://t.co/c79zLeREOA|15267|61923
realDonaldTrump|Fri Aug 31 22:07:25 +0000 2018|?President Donald J. Trump is Strengthening Retirement Security for American Workers? https://t.co/cKeATuKXDe|14361|57470
realDonaldTrump|Fri Aug 31 18:37:04 +0000 2018|Wow, I made OFF THE RECORD COMMENTS to Bloomberg concerning Canada, and this powerful understanding was BLATANTLY VIOLATED. Oh well, just more dishonest reporting. I am used to it. At least Canada knows where I stand!|27245|120149
realDonaldTrump|Fri Aug 31 17:09:01 +0000 2018|I will be doing a major rally for Senator Ted Cruz in October. I?m picking the biggest stadium in Texas we can find. As you know, Ted has my complete and total Endorsement. His opponent is a disaster for Texas - weak on Second Amendment, Crime, Borders, Military, and Vets!|32602|122545
realDonaldTrump|Fri Aug 31 01:50:40 +0000 2018|"Thank you Indiana, I love you!
https://t.co/To6s9ViMj1"|20330|85409
realDonaldTrump|Thu Aug 30 19:59:32 +0000 2018|Throwback Thursday! #MAGA https://t.co/8slzITa1l6|27509|98414
realDonaldTrump|Thu Aug 30 18:30:04 +0000 2018|Kevin Stitt ran a great winning campaign against a very tough opponent in Oklahoma. Kevin is a very successful businessman who will be a fantastic Governor. He is strong on Crime &amp; Borders, the 2nd Amendment, &amp; loves our Military &amp; Vets. He has my complete and total Endorsement!|17056|72708
realDonaldTrump|Thu Aug 30 16:54:09 +0000 2018|CNN is working frantically to find their ?source.? Look hard because it doesn?t exist. Whatever was left of CNN?s credibility is now gone!|33057|129711
realDonaldTrump|Thu Aug 30 13:49:51 +0000 2018|Will be going to Evansville, Indiana, tonight for a big crowd rally with Mike Braun, a very successful businessman who is campaigning to be Indiana?s next U.S. Senator. He is strong on Crime &amp; Borders, the 2nd Amendment, and loves our Military &amp; Vets. Will be a big night!|18958|79369
realDonaldTrump|Thu Aug 30 13:39:00 +0000 2018|I am very excited about the person who will be taking the place of Don McGahn as White House Counsel! I liked Don, but he was NOT responsible for me not firing Bob Mueller or Jeff Sessions. So much Fake Reporting and Fake News!|14287|62373
realDonaldTrump|Thu Aug 30 13:17:48 +0000 2018|The Rigged Russia Witch Hunt did not come into play, even a little bit, with respect to my decision on Don McGahn!|12879|59846
realDonaldTrump|Thu Aug 30 12:54:13 +0000 2018|Wow, Nellie Ohr, Bruce Ohr?s wife, is a Russia expert who is fluent in Russian. She worked for Fusion GPS where she was paid a lot. Collusion! Bruce was a boss at the Department of Justice and is, unbelievably, still there!|26677|88497
realDonaldTrump|Thu Aug 30 11:56:28 +0000 2018|The only thing James Comey ever got right was when he said that President Trump was not under investigation!|16909|71559
realDonaldTrump|Thu Aug 30 11:44:28 +0000 2018|Ivanka Trump &amp; Jared Kushner had NOTHING to do with the so called ?pushing out? of Don McGahn.The Fake News Media has it, purposely,so wrong! They love to portray chaos in the White House when they know that chaos doesn?t exist-just a ?smooth running machine? with changing parts!|18604|77362
