nodo_id,tipo,etiqueta,handle,author_channel_id,video_id,channel_id,canal,comentarios,videos_comentados,autores_unicos,visualizaciones,categoria
video:kaZgtwqwLrI,video,@rumzacapait @GobiernodeGuatemala,/@AnabellacordonArtista,,kaZgtwqwLrI,UCgRLnesCOuua3-JgFlzdS2w,TRAYECTORIA Y EXITO CON ANABELLA CORDON,0.0,,0.0,74.0,People & Blogs
video:kjwvEESqSHA,video,¿VALE la PENA VIAJAR de GUATEMALA a  XELA en BUS?  Descúbrelo,/@detodogt,,kjwvEESqSHA,UCDfEVbDrimcKw5lfbps915g,De todo Gt,0.0,,0.0,216172.0,People & Blogs
video:l-mH80ygqFY,video,Avances en proyectos municipales por el desarrollo y bienestar en la ciudad.,/@MunicipalidaddeGuatemala-1551,,l-mH80ygqFY,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,0.0,,0.0,256.0,News & Politics
video:lAsODhYGcTE,video,Gobierno busca a toda costa sacar a Consuelo Porras,/@noticiasvr,,lAsODhYGcTE,UCzPhFkpD8lwvlX8nGpJqdUw,Noticias VR,0.0,,0.0,3.0,People & Blogs
video:lNuxq8OKCpc,video,Lluvias convierten calles en ríos en Villa Nueva y San Miguel Petapa,/@PrensaLibreOficial,,lNuxq8OKCpc,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,0.0,,0.0,7663.0,News & Politics
video:lYyGqHAL5nM,video,Comuna lanzó nueva imagen de la PM y PMT,/@MunicipalidaddeGuatemala-1551,,lYyGqHAL5nM,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,0.0,,0.0,286.0,People & Blogs
video:lj983NWyAQY,video,Plan 2032 Ciudad de Guatemala,/@MunicipalidaddeGuatemala-1551,,lj983NWyAQY,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,25.0,,25.0,304089.0,News & Politics
video:lkdwGwrJKeM,video,🇬🇹 ¿Es seguro VIAJAR a Guatemala? Consejos prácticos para que todo te salga bien,/@UnAngelViajando,,lkdwGwrJKeM,UCeMAsS36ZiA56ZNtS8VSuOg,Un Angel Viajando,0.0,,0.0,5298.0,Travel & Events
video:mCoOL2p0il4,video,Municipalidad de Guatemala   08/08/2025,/@ConcejalesOposici%C3%B3n,,mCoOL2p0il4,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,0.0,,0.0,118.0,People & Blogs
video:mPtR2HskBTE,video,Municipalidad de Guatemala   17/02/2025,/@ConcejalesOposici%C3%B3n,,mPtR2HskBTE,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,0.0,,0.0,729.0,People & Blogs
video:mQH6bhmp_LY,video,Quorum: ¿Cómo investigamos la crisis del agua?,/@quorumgt,,mQH6bhmp_LY,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,0.0,,0.0,142.0,News & Politics
video:n31eyGuRKqo,video,El tráfico en Guatemala nos está enfermando - TanGente Salud Mental,/@TanGenteGT,,n31eyGuRKqo,UCGSQ821fpPy-yXL9mUmKbBg,TanGente Podcast,0.0,,0.0,932.0,People & Blogs
video:n4xHxJPNr78,video,🚫LOS FAMOSOS BUSES ESMERALDA los mas RÁPIDOS DE GUATEMALA 😱,/@detodogt,,n4xHxJPNr78,UCDfEVbDrimcKw5lfbps915g,De todo Gt,0.0,,0.0,3152619.0,People & Blogs
video:n8iP75gIpmw,video,Qué rico come tu diputado,/@quorumgt,,n8iP75gIpmw,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,161.0,,128.0,11775.0,News & Politics
video:nKJhNH86HGE,video,Se realiza taller de UNICEF sobre el plan de acción de la política pública contra la violencia sexua,/@mingobguate,,nKJhNH86HGE,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,0.0,,0.0,7.0,News & Politics
video:nPbC8-Ebat4,video,Pareja de sicarios capturada tras ataque armado contra piloto de autobús,/@PNCdeGuatemala,,nPbC8-Ebat4,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,0.0,,0.0,70537.0,Science & Technology
video:ncOU7iZR5jY,video,Carlos Pineda y Andre Pozuelos | Seguridad II- Guatemala tiene solución | Ep. 3,/@carlospinedaGT,,ncOU7iZR5jY,UCInL6HZez6Qn8IHV8Achhxw,Carlos Pineda,0.0,,0.0,3279.0,People & Blogs
video:ndAZjHqzzT8,video,Internet: escoger el menos malo,/@quorumgt,,ndAZjHqzzT8,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,12.0,,10.0,717.0,News & Politics
video:nhhXiHI4rrw,video,Policía Nacional Civil participa en desfile del día del Ejército. #ProtegerYServir,/@PNCdeGuatemala,,nhhXiHI4rrw,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,0.0,,0.0,21534.0,News & Politics
video:nv6wMdQ997Q,video,PMT en todo,/@MunicipalidaddeGuatemala-1551,,nv6wMdQ997Q,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,0.0,,0.0,2107.0,News & Politics
video:pNInRBsPbHE,video,Encuentro por el agua,/@quorumgt,,pNInRBsPbHE,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,0.0,,0.0,185.0,News & Politics
video:qFsSnnRdJBg,video,Avanza construcción de la Estrategia Nacional de Datos Abiertos,/@mingobguate,,qFsSnnRdJBg,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,0.0,,0.0,11.0,News & Politics
video:qrdEegnTnaY,video,XVII Promoción de Brigadas PROVIAL,/@ProvialOficial_CIV,,qrdEegnTnaY,UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,0.0,,0.0,416.0,People & Blogs
video:rNpBtQXUMbE,video,PMT es ejemplo en Guatemala,/@MunicipalidaddeGuatemala-1551,,rNpBtQXUMbE,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,0.0,,0.0,3212.0,News & Politics
video:rQEb4el3Lok,video,"Policía Nacional Civil en busca de mareros, imitadores y colaboradores de grupos delictivos",/@PNCdeGuatemala,,rQEb4el3Lok,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,0.0,,0.0,9637.0,News & Politics
video:rSQKmOX1Tfc,video,TU VIDA VALE  PROVIAL  TIEMPO AZUL & PAOLA PÉRLOP,/@moscavision,,rSQKmOX1Tfc,UCquHy3UnphbYGF62_j6W_yQ,Mosca Visión,0.0,,0.0,5262.0,Music
video:rjFut_yJcr8,video,Ministro de CIV conversó sobre los retos  actuales de la infraestructura vial en Guatemala,/@miracanalantigua,,rjFut_yJcr8,UC-GLagjBhWAZ3IOWFgzqIAw,Canal Antigua,0.0,,0.0,800.0,News & Politics
