nodo_id,etiqueta,grado,estado
video:N1QkRu38BFE,¡YA CAYÓ ALITO MORENO! ALERTA LO DESTITUYEN DIPUTADOS VOTAN PARA SACARLO DEL SENADO! CLAUDIA INFORMA,0,aislado observado
video:NCvoO61aIfw,Ya casi! Así avanza el Aerómetro que cambiará el transporte en Guatemala,0,aislado observado
video:NcIcixCdQH4,PNC garantiza seguridad a turistas que visitan el colcán de Agua,0,aislado observado
video:Nc_Iy0MriYw,🛑🛑Actualización PROVIAL🛑🛑,0,aislado observado
video:NnKpTEfhWjI,✅ ASÍ es una EXHIBICION DE BUSES EN GUATEMALA,0,aislado observado
video:O6gI0ooBM3E,¿Cómo es el tráfico en Guatemala? 56 días perdidos cada año y una emergencia nacional,0,aislado observado
video:OXf_VvvyIDw,Municipalidad de Guatemala 31/08/2026,0,aislado observado
video:OgOICSTSa7k,¡DÉJAME VIVIR! GUATEMALA INTENSIFICA LA LUCHA CONTRA LA CACERÍA ILEGAL DE FAUNA SILVESTRE,0,aislado observado
video:OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,0,aislado observado
video:On7jqOm1bpg,🌟Seguimos avanzando🌱,0,aislado observado
video:Oy6sKBhduu4,"Realizan Reunión Ordinaria de #CODEDE, 25 de febrero 2025.",0,aislado observado
video:Oztw_Hta52I,TRAFICO EN GUATEMALA,0,aislado observado
video:PMaSDoG0H1U,¿Adiós al tráfico? Así es la nueva carretera Radial 6 para Guatemala,0,aislado observado
video:Pg1qw0KJI4E,"Surgen detalles de la masacre en Boca del Monte: madre de un bombero e influencer, entre víctimas",0,aislado observado
video:Q-MNTYsZgk4,¿Qué ha pasado con la contaminación del aire?,0,aislado observado
video:Q7j1OUxkn9w,Dañan puerta del área de parqueo del Congreso,0,aislado observado
video:Q7nhEeibBK4,Desfile navideño 2024  -   @MunicipalidaddeGuatemala-1551,0,aislado observado
video:QUG4etpjgos,Guatemala Habla sobre la seguridad en el país,0,aislado observado
video:Qc_oHqe4Cjc,QUÉ GUARDAS EN LA CINTURA?  🔫🥕🥓🐷🤔@lilyvlogs6899 @ElJuanete1987 @Soychap1n @SimplementeFlori,0,aislado observado
video:R-fRv_WoZOE,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGT,0,aislado observado
video:RIpKKQh26cg,Ejército de Guatemala descubre túnel para fuga masiva en penal de Pavón,0,aislado observado
